"","genes_core"
"1445","rpsD"
"1446","rpsF"
"1447","rpsR"
"1448","rpsT"
"1449","rqcH"
"1450","rsbRA"
"1451","rsbRD"
"1452","rsbS"
"1453","rsbT"
"1454","rsbU"
"1455","rsbV"
"1456","rsbW"
"1457","rsbX"
"1458","rsfA"
"1459","rsgA"
"1460","rsgI"
"1461","rsgI6"
"1462","rsiW"
"1463","rsiX"
"1464","rsmA"
"1465","rsmB"
"1466","rsmD"
"1467","rsmE"
"1468","rsmG"
"1469","rsmH_1"
"1470","rsmH_2"
"1471","rsmI"
"1472","rsmJ"
"1473","rsoA"
"1474","rsuA"
"1475","ruvA"
"1476","ruvB"
"1477","ruvB_2"
"1478","sacY"
"1479","safD"
"1480","salL"
"1481","sapB"
"1482","sasA_1"
"1483","sasA_2"
"1484","sasA_4"
"1485","sat"
"1486","sbcD"
"1487","sbp"
"1488","scmP_1"
"1489","scoB"
"1490","scpA"
"1491","scrB"
"1492","sdhA"
"1493","sdhB"
"1494","sdhC"
"1495","secG"
"1496","sepF"
"1497","serA"
"1498","sfp"
"1499","sftA"
"1500","sigA"
"1501","sigB"
"1502","sigD"
"1503","sigE"
"1504","sigF"
"1505","sigG"
"1506","sigI"
"1507","sigM"
"1508","sigV_1"
"1509","sigW"
"1510","sipT"
"1511","sipV"
"1512","sipW"
"1513","sirA"
"1514","sirB"
"1515","sirC"
"1516","sleB"
"1517","sleL"
"1518","slmA"
"1519","slmA_1"
"1520","smc_2"
"1521","smc_3"
"1522","smtB"
"1523","sodA"
"1524","sorC"
"1525","speB"
"1526","speG"
"1527","speG_3"
"1528","speH"
"1529","splB"
"1530","spmA"
"1531","spmB"
"1532","spo0A"
"1533","spo0B"
